id,chance_acerto_casual,dificuldade,discriminacao,imagem_drive_id,numero,resposta_certa,habilidade_id,prova_id
1,0.17590,0.94349,2.15675,1B8nxgFiM_p15LadNKj1Brw-1m2TYvD0a,143,A,6,7
2,0.12580,4.11405,3.46951,1WIcRrcIXKyZo7lZzZApeMoQFmfE2F0WS,145,A,7,7
3,0.17070,2.09956,1.03003,15Ah9-EPtcPmJ6YwqnZoqdYfVLWZiLLkn,148,E,5,7
4,0.05419,3.87930,3.41203,1LfxUF60W2UZxGMlFNS1rYkydbW7K4-ZT,149,D,10,7
5,0.28781,2.04178,2.15388,1pXJJtavxGzdKmGaaJzm3mu9joAq1LtRn,150,C,8,7
6,0.27450,1.80813,1.42194,1zCqwRn7DOn8t8xqbrMH3PiJDtpKtRqOb,151,A,6,7
7,0.21108,2.82511,0.87277,1T3mRNF2jgA4QhdM-bu2h7yeuMfyh-t8o,152,D,3,7
8,0.10360,3.02993,1.16472,1qNuoJpshxBhbb1E2HZURDDfSfyQLduHb,155,E,3,7
9,0.12481,2.01086,1.98262,1jxCmRpUNYLP4AnMACZQCh90ka6A18Noe,156,C,5,7
10,0.30318,2.17499,1.74587,1MMUZ4iT2lNkwUQ3SaJKrFWa-s8a-3Qst,162,C,4,7
11,0.12228,4.31587,3.41610,1bsbsrAuhH5ieykoIu1J0nlr5NZxLV3al,165,E,7,7
12,0.11821,1.26471,1.76491,1atAWXT-6iCWzOy3eQj5VnJxTqhyHiRB_,169,C,1,7
13,0.20825,3.19644,1.70587,1C6FyZzVxrj5smDnkaA1xKbKw9i_PPqus,170,A,2,7
14,0.24491,0.96427,1.54884,1ysyMV5a0FVqbvUm2HDgvA6marYpJTEuv,177,E,1,7
15,0.19323,-0.42299,1.49174,1g7RfZYJ6wHNUo48LAFOQu4tYE2yNqJP4,178,B,9,7
16,0.20527,-0.23853,1.06024,1RJOSnrKOikOHHpRqotBNC0SK4grnDdkF,180,C,10,7
17,0.19287,1.89258,1.64539,1-5PwLh6qZ4R_C5yTaFYW0_mcQtI03Mw_,136,C,9,6
18,0.18734,1.82931,1.82869,1ED5fAPTH_NlQnI1Y-pPoGI_6qt4oJQPt,138,A,8,6
19,0.10770,2.10590,1.89960,1p_RtDqAcLUmTkQOiSpE7iXn0BsSbQfB2,139,A,9,6
20,0.18600,3.92011,0.86661,1g5cqEvM5V9mHbg5jCGfkXT_2BTRCF5VJ,145,D,7,6
21,0.14588,2.03775,1.98636,1Yu8DZrM8uATnZLIswllIYmJOgUqgUYR5,146,D,6,6
22,0.20983,3.74711,1.63497,1ybQf_V9gcdY_zpiZByYfEWCgbWjcMgIf,147,C,10,6
23,0.19659,0.27904,1.11894,1TNFGhWlT5U5L0NcdZHbslALbxu5HNbtt,148,D,10,6
24,0.13029,3.12558,1.60951,1HNcxZSJPwXA3uq9DIut7BKjDLXWVl-2P,151,D,8,6
25,0.27970,2.63616,2.10247,12G0x5VQPQJsA-872tJ5unzmBcjW7VW8J,152,C,7,6
26,0.17208,2.59645,2.05535,1x2vTX6kdjRZIwnO3YpvTUcy3eopdFrj7,153,E,2,6
27,0.15877,2.42336,1.35187,1CeIi5jz94nLAPeHRAJ_T3KeigbBM6Scq,157,A,2,6
28,0.16712,1.52149,1.50889,19UPB5q_KWVtGTWIAsIDtAZmh7pPLaNlL,158,D,1,6
29,0.13540,4.08667,2.94115,1kYnnDaZC46gstaKUaos0lAXEk3lq_c69,162,E,5,6
30,0.08471,1.16274,1.75245,1CwmvETZ0UGZhnbobBFrel7vERyeQ1XoU,164,A,4,6
31,0.13937,1.11684,1.07664,1ijBBlbSmvLaU-dteND4hEtGQCd7GZ1fT,165,C,6,6
32,0.12054,2.45335,1.46119,1qFnmANiICL8FECAwq5p2khyVOS_QTMr5,168,A,3,6
33,0.15051,1.84464,1.82503,1CMXpFBWdI4VWZJBkB_t3WQ2k8cvScjhJ,169,B,4,6
34,0.10382,2.81506,1.15634,119KGRBqQTT7FtAjA3-5kCiZWhCagpZPK,170,D,3,6
35,0.10809,1.34943,3.05583,1mBdEj76sr5ZxFvG1ZiYgu-T-mQQmroWv,137,D,4,5
36,0.09545,1.64983,2.66415,1KmxcLv0h9A8IEoA2poISCWD0XkUYD9Bv,139,E,5,5
37,0.12168,1.63320,2.43503,1OOrXEq5I-bEb6sW7_y_5kMoBonQ6jLuC,149,E,2,5
38,0.13308,0.88381,1.25148,1VDSqhluwgCPGdSoADeDZp8kULoM2mxLJ,156,E,8,5
39,0.14240,3.31311,1.47034,1Uq6lClxW-mK8EceX2C7tPUHAnLH3u2uq,157,A,9,5
40,0.22815,2.66770,2.55414,1ak8Ftt2H-Jy-jHO2J_wzNiCAB2r3AwMV,159,C,3,5
41,0.17437,1.57022,1.15923,1OUruwkbQSMcmcIoTd2EzJk3MSp-FH1sw,160,C,3,5
42,0.24777,2.97454,1.78838,13IS1kDRai0M8KaCB1u2FhRq8gEYJ8C-L,161,C,2,5
43,0.14637,1.86549,3.06510,1nRcBhZyLk6qewYQjYMsJULxkfiEElhzA,162,C,10,5
44,0.13712,1.87774,2.92985,1Wj0kj0Qr8o97B4IVQoU-tQZOT8LblceL,163,D,10,5
45,0.14805,2.41940,1.75065,1pU7ZmbK7mBdwK4EnLKjRdhQwL2QSljL4,164,A,1,5
46,0.19086,1.44943,3.16831,1HM4GOvBO3HOaDLG8Cgh8uJwixv7lJZB5,167,D,8,5
47,0.18500,3.00800,1.92900,1vaN5dkqIpiTSixp8LD8CVULMDnndzccr,168,D,7,5
48,0.11933,1.89084,2.10243,1eh9NQyY0heLiEDXIiNgSWvAX_0BdJb1s,169,A,6,5
49,0.30706,3.02371,2.60715,1E6fQ9i30RilIkrR6mD2eWxoukTJva_5d,172,B,7,5
50,0.09961,2.03259,1.88752,1lwvlQIYV4jtgh1FphrsbN7NL4ie-Dxgy,173,C,9,5
51,0.16386,2.89341,1.06810,1c76qNUtKZIeA2eUYH0LUrci6XT3XDHKU,179,D,6,5
52,0.06675,1.93449,1.25552,1LXpSKAIBcbLJUulyyAS1TwNepy5UM1MP,137,E,2,4
53,0.14700,3.00300,1.51000,1zxQEE2nPgkEDjz4E2TWMxz3Ddiu_1Xzt,138,D,8,4
54,0.08500,2.21700,2.28700,1GEi_oIlMfnLox-tjeJwzxgwmffBIVmLD,140,E,7,4
55,0.04550,1.16670,1.78432,1VY06b51DLMywUzHKouiMqrefmhzdPJPf,143,A,4,4
56,0.12552,0.42930,1.86876,1aV-sE5Ue27v7lqVfL-R4wwsjNfb1i3M-,144,D,1,4
57,0.26876,0.37213,1.12267,11xJn6zXrUa_MN6A5ihDRNimXM0F-SH7v,148,A,1,4
58,0.23186,1.92868,2.72919,1OPF5Au-Y0ktfEUiRmwyz2zzYgw7BAQOq,150,A,9,4
59,0.27294,2.35696,3.17618,1fAC_ICI08Li1D1W9rWWhe12JCjwiHuxP,157,E,3,4
60,0.18597,2.05336,1.72060,1HJlABdGa4MXraFnQThWek5wulmGIgs1h,158,C,7,4
61,0.19828,3.78057,3.93635,16YXmKvxBvDeEAchyiicwN3uvVPdYXECS,159,E,2,4
62,0.15911,2.61221,2.45518,10muQQcD0u40HuMzMUZQulqVis_3_c98n,160,C,3,4
63,0.20831,2.42062,3.76775,1weoBObgpfGZifNjDGGcK2hBYOiW_X_Ic,161,A,5,4
64,0.13818,1.95289,2.17954,1r2UHTHfKPdDh42vM1PxM9GKaru932a1O,165,C,10,4
65,0.16938,1.95818,3.41848,12u73-X-UDAUfFMH78Qd_79uAAHnQAci5,168,C,4,4
66,0.36496,2.72201,1.52296,1qpzssqchflQjh_nqsNEyFV1Velz1LzcQ,171,D,6,4
67,0.12635,2.88940,4.12689,14q3Yy_dGZb8orZuT0B6Lv0XCKDgqGPWF,175,B,8,4
68,0.07742,1.91179,2.59370,1EYkPUCcpAbwZWPNvjSMELXIYpJsUhpEF,176,E,10,4
69,0.16052,3.34343,5.31206,1M1Mc30QDokGWC2NN6eyrESM06UkHhBuR,177,C,9,4
70,0.20665,2.30004,2.24304,1hJgTjqyT_ZC1Tv8thLPghxFrVw1gXZnx,178,D,6,4
71,0.16356,1.63345,2.58330,1zHWzV1UbWPDQp1qSe1odZHckJ8a7K9mi,180,D,7,4
72,0.16359,0.84968,1.20090,1M1sTCS5Wg8fUujlDqo08AnSbYQB1i8_2,137,E,5,3
73,0.25529,2.86173,3.29625,1p1-3-FJOFzn-uFYCKym86y6ENL-EJwKC,139,C,7,3
74,0.18914,3.29884,1.78193,1LTSd5DIA6Tlu-JMb2NPA2U-Kab22OKiE,142,C,3,3
75,0.20490,2.50648,0.96583,1mkjV9bGTV4mM5GABg9kD-GEoa5AUIxun,143,C,4,3
76,0.14885,2.31084,2.18282,1WgzfKUs1fQvh2pxBsaIrnDExBoHc_fbM,147,C,1,3
77,0.20086,-0.08552,1.58670,19lpbGfqymH5GZyifixkPjqrjtfA8N6zS,149,A,1,3
78,0.09203,0.62447,2.75624,1UqxbVpeXiC40GXnY5yj5gACaEX_sbFcj,151,C,9,3
79,0.13986,2.68030,1.73821,1PRjA6PcgNI3kF9JxEOubruMxkph7-O0A,153,A,3,3
80,0.18532,0.89580,2.96092,1C_49qda43rldoN4wH-iTpvPE_qaDIChY,155,C,8,3
81,0.15884,1.89021,2.99017,1uxBUsqYCs4WSmjQleiVyewaQBlHxniop,158,C,5,3
82,0.13290,0.99371,2.09221,1SzQOqPIGusW9sKvwITi-04w1QHMBW1y7,163,E,10,3
83,0.15449,1.34028,2.59667,1_VfN3deH5LvkJ08P1fqUt6cycPFvFybw,166,B,2,3
84,0.17940,1.08171,2.04724,18pm92EBV8UuZVXEp-Rcv1RAVSvDnWdoI,167,D,9,3
85,0.21610,2.18033,4.06335,1VLiSqYHbzmIpUJxTZot8UOtruV_XYZK6,168,B,6,3
86,0.11432,2.17738,1.57033,1pWC3myH4SS-131KbUg4gkYmCdpT1I8Rl,170,E,2,3
87,0.27993,1.65188,1.89497,13ghVx_IqBCHwj4VEQ4qj3v4HVkdadc2v,176,C,3,3
88,0.14575,1.21252,1.68298,16HMTT-G6acfdOUA7JK-Awmc7hhMtdICw,136,D,1,2
89,0.20245,1.40250,2.48037,1-OdItTO7uL90p2Xig0uRc4a04lFf1JH2,137,D,1,2
90,0.20483,1.21452,3.29525,1OcD9U4vP2Fduzp1S59Lvk8JhqUOjXbv9,138,C,3,2
91,0.13839,1.87459,2.75345,1N6NXyOVSee02EzqYsobwQeIAMXMKR9i6,139,A,2,2
92,0.13024,1.71637,1.78096,1ffFDhJ7aNYn4nTYpFaEShir7_bNmD1_E,140,B,3,2
93,0.15898,1.49877,1.71655,1If_MrimXxRfbe_aSeIVV38PYZKTxgw84,141,D,4,2
94,0.14881,1.37865,1.44209,1Y2i4cSNvPpOdu4EFgx4h3N8U0rZ-NBZO,142,C,4,2
95,0.16153,1.59921,1.47905,1xEwsiX7cvAATn-Auj-S2WHm74N3qwJf7,144,A,5,2
96,0.08889,2.16194,1.50255,1SlxJvQX7R1UxzhKTdCNINIlTq8GkTKTv,145,E,5,2
97,0.13965,2.23062,1.50712,12ldbqdlfj402rrz1uP85kDnC6PjkbYm2,146,D,6,2
98,0.19555,2.40851,1.45834,1N2aM5eoEv5uJWCzMPhqInVwaTtWfTuYq,147,C,6,2
99,0.14790,2.38315,2.05592,13VAxqN_JzOjP-ge8z76AMIjARPQt_UtN,156,E,4,2
100,0.08061,4.96788,0.38226,1rYregWKd33YU1SpPk1J6ZMPL_pVgDwaY,162,E,7,2
101,0.10646,1.68956,2.32415,1r4ptKSpBfEbIQsSM5j9oJV--FJA_3a57,166,C,8,2
102,0.19274,1.95839,1.53863,1W-4XxxS0u_e7k9TaT18JRZOdSUBb-rVP,167,C,9,2
103,0.10040,1.06450,1.85811,1IjThsqiBRocTRE1LPUMYlTQo8Y7YgY9c,168,C,8,2
104,0.07498,0.94544,1.67858,1hdeP5H6DNZOV2HNt29mhDIyTdZzy3FUu,170,D,9,2
105,0.26937,2.47483,1.41349,1UgDsN2f5xFXlGpCy1NYs3w0zEyx8WlP6,172,C,10,2
106,0.16879,1.93237,3.23662,1W8UiPjnmNvSfTIXKBAnq5jXJZzxlvUjV,173,E,10,2
107,0.14078,1.73939,1.38496,1Gzzulg5kP-BVIYcJAbdCY2u5ydKnNdqG,179,E,2,2
108,0.10176,1.58603,2.57245,11Ib3jbYfIoLNWU6DMeY2G8DhyLkz64Xk,140,A,4,1
109,0.04601,1.32978,2.18973,1z50oMhEQg5uffXKVP-HvGjChs6UTJFZY,143,B,9,1
110,0.11013,-0.02398,1.42701,14aIyVlHvOD-CTaPtBYajZCjITJiUT3Yi,144,E,1,1
111,0.18728,0.64802,1.32325,1NYs9UiV6czZNoeUheCFrBmOYjCSza-ja,146,A,9,1
112,0.13020,1.56693,2.19381,1MtF7wr0KcTSJfDebnF8ZqtshupqUwTX6,149,C,3,1
113,0.15718,2.16924,0.92146,1i3gRyN-iLLWqUvx7v7sHsCPmjS0V00mo,150,B,2,1
114,0.14217,2.40899,2.33252,1tefLaVVzYvEsqpIDSFQtsU4xqPhBioz8,151,E,8,1
115,0.03228,4.65334,0.24441,1GbdD8tggwIHrmBAt7meHUggrvLMkI6Mq,152,C,10,1
116,0.11329,2.41531,2.27997,1xwGICenHlFfqJHtK8S5JQwSGUit-Y330,155,E,7,1
117,0.16170,2.45135,0.90320,1H7AwXhbIZEDhi0vTlGJ0Ex2UtGuDwqYr,158,D,5,1
118,0.16856,1.92189,1.18017,1LkPzanR4pKmlyl02KuAvFkaaYxY2bAFV,159,C,1,1
119,0.16855,3.30111,1.57712,1TFBGj3elTUkoTfwlD5OXteUJPp7VT_ZR,161,B,3,1
120,0.11290,2.40685,0.79395,1yojP8gmX6gSYnzf1cqCWhpXBIrk7p0Eg,163,C,5,1
121,0.16335,0.63977,2.81078,1LM0JWp6RLn5G2hGCnaEYAfcLBhXXJCuD,168,D,8,1
122,0.12028,2.57768,2.93886,1oGtHX_c7wFQFJX8QuGrsMlAb5bag1_Ye,169,D,6,1
123,0.18410,2.54230,2.17147,15rTgb5yyjZRG8p0qhAKtTYLP3fIxDuib,177,B,2,1